ID,Cena,Metraż,Pokoje,Lokalizacja,Ulica,Typ,Bez Pośredników,Opis,Link
3875802,119000,24.0,2,Łódź,Śródmieście,Mieszkanie,Tak,"Proszę dzwonić tel !!!
Mieszkanie 2 pokoje, kuchnia i łazienka w Centrum Łodzi, w pelni wyposażenie po remoncie generalnym, nowa elektryka, hydraulika, sufity podwieszane, panele, na ścianach gładź szpachlowa.
Przystanek autobusowy 30m, blisko galeria Łódzka około 300 m, do ul Piotrkowskiej 300m.

K...",https://adresowo.pl/o/mieszkanie-lodz-srodmiescie-2-pokojowe-24-m2-h5d2m0
3875488,359000,42.0,2,Łódź,Retkinia,Mieszkanie,Tak,"Do sprzedania mieszkanie na Retkini o pow. 42,23m2 bezpośrednio od właściciela.

Mieszkanie składa się z 2 pokoi, przedpokoju, kuchni, łazienki i osobno toalety.

2 ZALETY KTÓRE WYRÓŻNIAJĄ TO MIESZKANIE:
Do mieszkania przynależy komórka lokatorska oraz pomieszczenie gospodarcze na piętrze z osobnym ...",https://adresowo.pl/o/mieszkanie-lodz-retkinia-2-pokojowe-42-m2-x8m5r7
3875068,590000,54.0,2,Łódź Teofilów,ul. Kaczeńcowa,Mieszkanie,Tak,"Oferuję na sprzedaż mieszkanie na Teofilowie w Łodzi u zbiegu ulic Kaczeńcowa i Grabieniec. Osiedle Kaczeńcowe, na którym wybudowane są 3 bloki mieszkalne jest wspólnotą mieszkaniową. To bardzo przyjemne i bezpieczne miejsce do mieszkania ogrodzone, monitorowane i chronione przez całą dobę przez pra...",https://adresowo.pl/o/mieszkanie-lodz-teofilow-ul-kaczencowa-2-pokojowe-c3a4q8
3874322,229000,24.0,1,Łódź Polesie,ul. Gdańska,Mieszkanie,Tak,"Oferta prywatna - pośrednikom dziękuję.

Na sprzedaż funkcjonalne mieszkanie o powierzchni 24,64 m², położone w kamienicy w podwórku (oficyna) przy ul. Gdańskiej 64 w Łodzi. Cicha lokalizacja, brak hałasu ulicznego - idealna propozycja pod inwestycję lub jako pierwsze mieszkanie.

LOKALIZACJA
- Cent...",https://adresowo.pl/o/mieszkanie-lodz-polesie-ul-gdanska-1-pokoj-t6p4p5
3874112,355000,37.0,2,Łódź,Dąbrowa,Mieszkanie,Tak,"Na sprzedaż oferuję przytulne, jasne i gotowe do wprowadzenia mieszkanie o powierzchni 37 m²,
położone na 1 piętrze czteropiętrowego bloku na łódzkiej Dąbrowie.
To idealna propozycja zarówno dla singla, pary, jak i inwestora szukającego atrakcyjnego lokalu pod wynajem.

Układ i standard:
Mieszkanie ...",https://adresowo.pl/o/mieszkanie-lodz-dabrowa-2-pokojowe-37-m2-v8z3s8
3874066,345000,36.0,2,Łódź Widzew,ul. Wilcza,Mieszkanie,Tak,"Dzień dobry,

Na sprzedaż mieszkanie przy ulicy Wilczej 11 w Łodzi.

Mieszkanie o powierzchni 36,44 mkw znajduje się na 2 piętrze 4 piętrowego bloku. Sprzedaję jako osoba prywatna.

Idealne dla pojedynczej osoby, pary lub rodziny z 1 dzieckiem. Bardzo spokojna okolica, z ogólnodostępnymi miejscami p...",https://adresowo.pl/o/mieszkanie-lodz-widzew-ul-wilcza-2-pokojowe-a5e5n0
3873524,426000,45.0,2,Łódź Bałuty,ul. Turoszowska,Mieszkanie,Tak,"Mieszkanie z pełnym wyposażeniem | możliwość negocjacji.

Na sprzedaż jasne, rozkładowe mieszkanie po kapitalnym remoncie, z balkonem i klimatyzacją, położone na 3. piętrze w ocieplonym budynku, w zielonej części Łodzi.

- sprzedaż bezpośrednio od właściciela - brak prowizji
- salon południowo-zacho...",https://adresowo.pl/o/mieszkanie-lodz-baluty-ul-turoszowska-2-pokojowe-y9v0p8
3873512,650000,84.0,3,Łódź Polesie,ul. Wólczańska,Mieszkanie,Tak,"Pośrednikom dziękuję !!!

Przestronne mieszkanie na sprzedaż w Łodzi

Lokalizacja: Łódź, ul. Wólczańska, blisko skrzyżowania z ul. Andrzeja Struga.
Powierzchnia: 84,5 m2
Cena: 650 000 zł

Opis:
Na sprzedaż komfortowe mieszkanie o powierzchni 84,5 m2, położone w sercu Łodzi, przy ulicy Wólczańskiej, ...",https://adresowo.pl/o/mieszkanie-lodz-polesie-ul-wolczanska-3-pokojowe-w9f7m4
3873444,630000,50.0,2,Łódź Polesie,ul. kpt. Stefana Pogonowskiego,Mieszkanie,Tak,"🏡 Mieszkanie w centrum Łodzi, które daje spokój – Polesie, Nova Lipowa

Na sprzedaż jasne, funkcjonalne mieszkanie 2-pokojowe o powierzchni 50,41 m², położone w nowoczesnej inwestycji Nova Lipowa przy ul. Pogonowskiego 70 na łódzkim Polesiu.

To propozycja dla osób, które chcą mieszkać w sercu miast...",https://adresowo.pl/o/mieszkanie-lodz-polesie-ul-kpt-stefana-pogonowskiego-2-pokojowe-x1a8i8
3871478,250000,26.0,1,Łódź,Śródmieście,Mieszkanie,Tak,"KOMFORTOWA KAWALERKA 
 w samym centrum, w otoczeniu Teatr Wielki, Filharmonia             
                                       Łódzka, Uniwersytet.
	Lokal, jako spółdzielcze własnościowe prawo do lokalu mieszkalnego, znajduje się na IX piętrze budynku 11 piętrowego, zawiera powierzchni 26,76 m.kw...",https://adresowo.pl/o/mieszkanie-lodz-srodmiescie-1-pokoj-26-m2-n3e7p2
3870366,795000,57.0,3,Łódź Polesie,ul. gen. Stanisława Maczka,Mieszkanie,Tak,"Mieszkanie znajduje się na pierwszym piętrze. W nieruchomości jest wszystko zrobione w standardzie premium, wszystko nowe. Stan idealny. Parkiety DĄB caramelo deska Barlinecka, beton strukturalny na ścianach w każdym z pokoi. Ściany jasne, mieszkanie ciepłe. Pakiet wykończenia premium od Atal. Łazie...",https://adresowo.pl/o/mieszkanie-lodz-polesie-ul-gen-stanislawa-maczka-3-pokojowe-q6w5g5
